State,Abbr,Capital,Notes
Connecticut,CT,Hartford,"Bridgeport is the state's largest city, Hartford, however, is the state's largest Metro area"
Maine,ME,Augusta,Portland is the state's largest city.
Massachusetts,MA,Boston,Longest continuously serving capital in the U.S.
New Hampshire,NH,Concord,Manchester is the state's largest city.
Rhode Island,RI,Providence,"Also served as the state's capital from 1636–1686 and 1689–1776. It was one of five co-capitals 1776–1853, and one of two co-capitals 1853–1900."
Vermont,VT,Montpelier,Least populous U.S. state capital. Burlington is the state's largest city.
