State,Abbr,Capital,Notes
Arizona,AZ,Phoenix,Most populous U.S. state capital and the only capital with more than 1 million citizens.
New Mexico,NM,Santa Fe,Longest serving capital in the United States. Highest elevation of any state capital. Albuquerque is the state's largest city.
Oklahoma,OK,Oklahoma City,Shortest serving current state capital.
Texas,TX,Austin,"Houston is the state's largest city and the previous capital, and Dallas–Fort Worth is the largest metro area. Austin is the largest state capital that is not also the state's largest city by population."
