State,Abbr,Capital,Notes
Delaware,DE,Dover,Longest-serving capital in terms of statehood. Wilmington is the state's largest city.
Maryland,MD,Annapolis,Smallest capital by land area. Baltimore is the state's largest city and county. Capitol building is the oldest in the U.S. still in use.
New Jersey,NJ,Trenton,"Served as the U.S. capital for a short period in the late 18th century. Newark is the state's largest city, although Trenton is the center of the largest Metropolitan Statistical Area centered in New Jersey."
New York,NY,Albany,New York City is the state's largest city.
Pennsylvania,PA,Harrisburg,Philadelphia is the state's largest city.
